noise_sd,contrast,radius_mm,d_prime_closed_form,d_prime_ideal_linear,relative_error
15.0,20.0,1.5,6.741249472052228,6.741249472052227,1.3175278906118547e-16
15.0,20.0,3.0,13.863421094536674,13.863421094536676,1.2813264686162357e-16
15.0,20.0,5.0,23.288051299611425,23.288051299611425,0.0
30.0,20.0,1.5,3.370624736026114,3.3706247360261137,1.3175278906118547e-16
30.0,20.0,3.0,6.931710547268337,6.931710547268338,1.2813264686162357e-16
30.0,20.0,5.0,11.644025649805712,11.644025649805712,0.0
60.0,20.0,1.5,1.685312368013057,1.6853123680130568,1.3175278906118547e-16
60.0,20.0,3.0,3.4658552736341686,3.465855273634169,1.2813264686162357e-16
60.0,20.0,5.0,5.822012824902856,5.822012824902856,0.0
120.0,20.0,1.5,0.8426561840065285,0.8426561840065284,1.3175278906118547e-16
120.0,20.0,3.0,1.7329276368170843,1.7329276368170845,1.2813264686162357e-16
120.0,20.0,5.0,2.911006412451428,2.911006412451428,0.0
