sweep,kv,mas,relative_dose,noise_sd,correlation_sigma_mm,contrast,denoiser,method,ceiling_d_prime,ceiling_auc,d_prime_ideal,auc_ideal,d_prime_cho,auc_cho,d_prime_npwe,auc_npwe,ssim,psnr,rmse,excess,margin,bound_ok,efficiency,false_structure_rate,contrast_recovery,level,auc_se_cho,auc_se_ideal,auc_se_npwe,estimator_d_prime_ratio,false_structure_mean_amplitude,n_trials,params,pixel_sd,processed_auc_se,raw_estimated_auc,raw_estimated_d_prime,raw_false_structure_rate,reason,saturated,seed
dose,120.0,200.0,2.0,21.213203435596427,0.0,20.0,raw,none,9.802919066391512,0.9999999999979211,9.840380252117109,1.0,9.636826557215107,1.0,7.138643199811667,1.0,0.19486756244289466,25.511261738152626,21.20914211255244,2.0788926136106056e-12,6.944444444444445e-07,True,1.0076574667510418,0.0025,1.0036135320428619,green,0.0,0.0,0.0,1.0038214317053815,0.3169366410280077,1200,{},21.213203435596427,0.0,1.0,9.840380252117109,0.0025,raw: input ideal d'=9.80 meets the floor and the processed task d'=9.84 follows it; no excess false structure or erasure.,True,20260101
dose,120.0,200.0,2.0,21.213203435596427,0.0,20.0,gaussian(1.5 px),gaussian,9.802919066391512,0.9999999999979211,9.253110724725977,1.0,9.58212679591845,1.0,8.16431476549298,1.0,0.7588879431127535,39.330449441621084,4.323739760580252,2.0788926136106056e-12,6.944444444444445e-07,True,0.8909732883438067,0.0,0.830957564858199,green,0.0,0.0,0.0,1.0038214317053815,0.24620761062486943,1200,"{""sigma"": 1.5}",21.213203435596427,0.0,1.0,9.840380252117109,0.0025,gaussian(1.5 px): input ideal d'=9.80 meets the floor and the processed task d'=9.25 follows it; no excess false structure or erasure.,True,20260101
dose,120.0,200.0,2.0,21.213203435596427,0.0,20.0,TV(0.4 sd),tv,9.802919066391512,0.9999999999979211,9.69936970399769,1.0,9.6386130804161,1.0,7.745087313174883,1.0,0.5361286756138364,32.80436023154376,9.161607448964917,2.0788926136106056e-12,6.944444444444445e-07,True,0.9789853492047451,0.0,0.9206401048091405,green,0.0,0.0,0.0,1.0038214317053815,0.2740636376444894,1200,"{""max_num_iter"": 200, ""weight"": 8.485281374238571}",21.213203435596427,0.0,1.0,9.840380252117109,0.0025,TV(0.4 sd): input ideal d'=9.80 meets the floor and the processed task d'=9.70 follows it; no excess false structure or erasure.,True,20260101
dose,120.0,200.0,2.0,21.213203435596427,0.0,20.0,NLM(0.6 sd),nlm,9.802919066391512,0.9999999999979211,8.18013564580098,1.0,8.518621203973936,1.0,7.332593534295421,1.0,0.7527129195700181,37.38195505008097,5.410986501129981,2.0788926136106056e-12,6.944444444444445e-07,True,0.6963220958558571,0.0,0.7338881290283087,green,0.0,0.0,0.0,1.0038214317053815,0.19632312886500608,1200,"{""h"": 12.727922061357855, ""patch_distance"": 6, ""patch_size"": 5}",21.213203435596427,0.0,1.0,9.840380252117109,0.0025,NLM(0.6 sd): input ideal d'=9.80 meets the floor and the processed task d'=8.18 follows it; no excess false structure or erasure.,True,20260101
dose,120.0,100.0,1.0,30.0,0.0,20.0,raw,none,6.931710547268338,0.9999995243637675,6.898530722100626,0.9999993055555556,6.738503387223337,1.0,5.020091374418845,0.9998916666666666,0.09787498440488511,22.50224114981602,29.989892312900956,-2.1880821188258182e-07,3.404800325296122e-05,True,0.9904495681200071,0.1775,1.0058568353362118,green,0.0,1.7017434540433082e-05,0.0002125533756036305,0.995213327945324,0.4443664706249503,1200,{},30.0,1.7017434540433082e-05,0.9999993055555556,6.898530722100626,0.1775,raw: input ideal d'=6.93 meets the floor and the processed task d'=6.90 follows it; no excess false structure or erasure.,True,20261101
dose,120.0,100.0,1.0,30.0,0.0,20.0,gaussian(1.5 px),gaussian,6.931710547268338,0.9999995243637675,6.349511133226531,0.9999986111111111,6.712344942370364,1.0,5.865594347897872,0.9999930555555555,0.6338118358369051,36.41696211139162,6.0469974076500055,-9.132526563870869e-07,4.78635078247818e-05,True,0.8390729866829517,0.008333333333333333,0.832703089294515,green,0.0,2.406629088718002e-05,5.381393675027089e-05,0.995213327945324,0.3443596149375323,1200,"{""sigma"": 1.5}",30.0,2.406629088718002e-05,0.9999993055555556,6.898530722100626,0.1775,gaussian(1.5 px): input ideal d'=6.93 meets the floor and the processed task d'=6.35 follows it; no excess false structure or erasure.,True,20261101
dose,120.0,100.0,1.0,30.0,0.0,20.0,TV(0.4 sd),tv,6.931710547268338,0.9999995243637675,6.825640308230372,1.0,6.7215117311311285,1.0,5.526094355943394,0.9999833333333333,0.36299254156598676,29.81246947021016,12.929042804780792,4.756362325109009e-07,6.944444444444445e-07,True,0.969629809061547,0.04,0.9157909992887568,green,0.0,0.0,8.33683939114832e-05,0.995213327945324,0.38427283905408216,1200,"{""max_num_iter"": 200, ""weight"": 12.0}",30.0,0.0,0.9999993055555556,6.898530722100626,0.1775,TV(0.4 sd): input ideal d'=6.93 meets the floor and the processed task d'=6.83 follows it; no excess false structure or erasure.,True,20261101
dose,120.0,100.0,1.0,30.0,0.0,20.0,NLM(0.6 sd),nlm,6.931710547268338,0.9999995243637675,5.8739750027325135,0.99999375,5.875634136542755,1.0,5.475286761749826,0.9999965277777778,0.6111560136295365,34.48919411305895,7.5492885272833,-5.774363767474533e-06,0.00010075525915850293,True,0.718097392096055,0.0008333333333333334,0.6819990076585336,green,0.0,5.105237417795706e-05,3.805216673450637e-05,0.995213327945324,0.27506605434314496,1200,"{""h"": 18.0, ""patch_distance"": 6, ""patch_size"": 5}",30.0,5.105237417795706e-05,0.9999993055555556,6.898530722100626,0.1775,NLM(0.6 sd): input ideal d'=6.93 meets the floor and the processed task d'=5.87 follows it; no excess false structure or erasure.,True,20261101
dose,120.0,49.99999999999999,0.49999999999999994,42.42640687119285,0.0,20.0,raw,none,4.901459533195756,0.9997357261459661,4.824167131582325,0.99956875,4.8200100661092184,0.9994361111111111,3.4480312906876973,0.9914486111111112,0.04441405686853787,19.491670821703888,42.413324360604385,-0.00016697614596605792,0.0008319495720276285,True,0.9687101447998986,0.9625,1.0080695084301705,red,0.00048498988296936745,0.0004241175522305606,0.0018921553682512977,0.984230737581335,0.6341400434894827,1200,{},42.42640687119285,0.0004241175522305606,0.99956875,4.824167131582325,0.9625,"raw: input ideal d'=4.90 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20262101
dose,120.0,49.99999999999999,0.49999999999999994,42.42640687119285,0.0,20.0,gaussian(1.5 px),gaussian,4.901459533195756,0.9997357261459661,4.1349540834077825,0.99786875,4.790639074145351,0.9994333333333333,3.920759224430007,0.9971319444444444,0.4868030133957709,33.46113650031825,8.498395748540013,-0.0018669761459660927,0.001849396773937625,True,0.7116894693314813,0.41833333333333333,0.8335841934469845,red,0.0004861833048069855,0.0009432328063553764,0.0010943897116823353,0.984230737581335,0.4924661573846159,1200,"{""sigma"": 1.5}",42.42640687119285,0.0009432328063553764,0.99956875,4.824167131582325,0.9625,"gaussian(1.5 px): input ideal d'=4.90 < 5 (prespecified floor, Rose): the input does not meet the detectability requirement and post-processing cannot restore it.",False,20262101
