sweep,kv,mas,relative_dose,denoiser,ceiling_d_prime,delta_d_prime_cho,delta_d_prime_ideal,delta_d_prime_npwe,delta_ssim
dose,120.0,200.0,2.0,gaussian(1.5 px),9.802919066391512,-0.0546997612966571,-0.5872695273911326,1.0256715656813133,0.5640203806698589
dose,120.0,200.0,2.0,TV(0.4 sd),9.802919066391512,0.0017865232009928178,-0.1410105481194197,0.6064441133632164,0.3412611131709417
dose,120.0,200.0,2.0,NLM(0.6 sd),9.802919066391512,-1.118205353241171,-1.6602446063161285,0.19395033448375454,0.5578453571271234
dose,120.0,100.0,1.0,gaussian(1.5 px),6.931710547268338,-0.026158444852972806,-0.5490195888740947,0.8455029734790269,0.5359368514320201
dose,120.0,100.0,1.0,TV(0.4 sd),6.931710547268338,-0.016991656092208096,-0.07289041387025375,0.5060029815245493,0.26511755716110164
dose,120.0,100.0,1.0,NLM(0.6 sd),6.931710547268338,-0.862869250680582,-1.024555719368112,0.4551953873309813,0.5132810292246515
dose,120.0,49.99999999999999,0.49999999999999994,gaussian(1.5 px),4.901459533195756,-0.02937099196386761,-0.6892130481745422,0.4727279337423096,0.44238895652723303
dose,120.0,49.99999999999999,0.49999999999999994,TV(0.4 sd),4.901459533195756,-0.04513853150731517,-0.04252859939419551,0.2883753218922429,0.1689914035222754
dose,120.0,49.99999999999999,0.49999999999999994,NLM(0.6 sd),4.901459533195756,-0.42072413342991677,-0.6607067932449873,0.5131459388227548,0.4000996532049881
dose,120.0,25.000000000000007,0.25000000000000006,gaussian(1.5 px),3.4658552736341695,-0.011040854359144259,-0.33490428922577475,0.3492615210582759,0.3172051755963852
dose,120.0,25.000000000000007,0.25000000000000006,TV(0.4 sd),3.4658552736341695,-0.010714903193639103,-0.024510263593457537,0.23053877836748793,0.09063154552091086
dose,120.0,25.000000000000007,0.25000000000000006,NLM(0.6 sd),3.4658552736341695,-0.24522142595050633,-0.5076166725584219,0.44262740143866885,0.26290777379790514
dose,120.0,12.500000000000002,0.12500000000000003,gaussian(1.5 px),2.450729766597878,-0.011580318023543423,-0.6118372907311358,0.3152789842103967,0.19728685674817573
dose,120.0,12.500000000000002,0.12500000000000003,TV(0.4 sd),2.450729766597878,0.0009595429307456271,0.012259192238261551,0.2057940868836825,0.042418854191637226
dose,120.0,12.500000000000002,0.12500000000000003,NLM(0.6 sd),2.450729766597878,-0.18818885466629487,-0.3086575357055532,0.3326116082813877,0.14664742407933398
dose,120.0,6.25,0.0625,gaussian(1.5 px),1.7329276368170845,-0.006499683419405322,-0.7430174675512382,0.282646617346356,0.10701218928075856
dose,120.0,6.25,0.0625,TV(0.4 sd),1.7329276368170845,-0.012459478325318685,0.005679892768007289,0.17559535424902828,0.017970402200407968
dose,120.0,6.25,0.0625,NLM(0.6 sd),1.7329276368170845,-0.08352313583511894,-0.1526294226603817,0.3434513399966508,0.07138385263750686
dose,120.0,3.125,0.03125,gaussian(1.5 px),1.225364883298939,-0.004250996532299878,-0.4335019015992073,0.2232750310890984,0.050251626345494134
dose,120.0,3.125,0.03125,TV(0.4 sd),1.225364883298939,-0.0003478448801883527,-0.00619823560846533,0.13574144181237147,0.007023865666735576
dose,120.0,3.125,0.03125,NLM(0.6 sd),1.225364883298939,-0.08242288554973243,-0.09556121619007596,0.26060071238468985,0.030831565519680696
